SNF2.1	SNF2.10	SNF2.11	SNF2.12	SNF2.13	SNF2.14	SNF2.15	SNF2.16	SNF2.17	SNF2.18	SNF2.19	SNF2.2	SNF2.20	SNF2.21	SNF2.22	SNF2.23	SNF2.24	SNF2.25	SNF2.26	SNF2.27	SNF2.28	SNF2.29	SNF2.3	SNF2.30	SNF2.31	SNF2.32	SNF2.33	SNF2.34	SNF2.35	SNF2.36	SNF2.37	SNF2.38	SNF2.39	SNF2.4	SNF2.40	SNF2.41	SNF2.42	SNF2.43	SNF2.44	SNF2.45	SNF2.46	SNF2.47	SNF2.48	SNF2.5	SNF2.6	SNF2.7	SNF2.8	SNF2.9	WT.1	WT.10	WT.11	WT.12	WT.13	WT.14	WT.15	WT.16	WT.17	WT.18	WT.19	WT.2	WT.20	WT.21	WT.22	WT.23	WT.24	WT.25	WT.26	WT.27	WT.28	WT.29	WT.3	WT.30	WT.31	WT.32	WT.33	WT.34	WT.35	WT.36	WT.37	WT.38	WT.39	WT.4	WT.40	WT.41	WT.42	WT.43	WT.44	WT.45	WT.46	WT.47	WT.48	WT.5	WT.6	WT.7	WT.8	WT.9
HRA1	13	9	16	11	32	23	11	24	8	18	16	16	10	17	13	14	17	8	6	12	11	12	11	12	11	10	20	10	10	7	12	15	30	16	11	17	11	9	10	9	11	9	10	14	17	12	10	24	10	26	14	22	17	34	20	18	12	13	21	20	13	28	32	20	26	46	27	25	45	20	10	25	26	6	28	1	15	4	17	13	18	22	20	36	17	8	22	30	10	21	19	9	25	25	28	18
ICR1	135	85	111	98	106	146	89	114	119	130	89	129	100	146	97	112	193	77	127	70	95	142	132	83	65	147	152	100	116	60	90	98	198	147	98	119	110	123	114	82	127	116	103	82	121	189	107	144	63	86	79	74	98	121	81	56	106	107	71	95	56	135	160	85	77	121	95	97	131	87	72	144	102	52	92	45	80	42	82	47	68	117	133	93	85	75	57	97	54	140	75	71	180	97	87	91
LSR1	104	140	77	110	148	432	33	65	194	92	60	50	68	124	71	91	248	54	78	58	95	75	97	137	37	66	163	112	348	45	84	63	136	130	100	73	25	331	120	117	58	124	74	145	300	171	39	78	33	80	33	59	101	68	40	139	111	187	51	86	230	101	198	110	71	152	194	97	117	64	120	84	132	30	112	143	111	96	43	27	32	83	190	114	72	58	42	61	67	116	60	87	171	94	50	93
NME1	17	23	17	17	17	71	6	25	30	20	19	9	22	16	8	13	31	13	18	4	16	13	7	15	7	18	11	21	34	6	15	13	24	18	6	14	9	43	20	10	11	15	19	22	5	23	12	10	3	13	3	5	12	3	6	20	12	22	9	9	16	5	13	21	14	9	17	13	13	11	13	12	19	11	22	16	12	18	10	8	3	7	33	20	15	4	8	12	6	21	8	11	19	15	8	11
NTS1-2	384	265	358	338	766	361	210	257	329	326	270	295	300	356	208	353	456	235	356	191	219	313	283	318	191	328	403	443	385	251	280	361	602	578	390	340	205	307	373	243	311	350	309	233	1942	642	206	363	30	52	45	45	57	86	53	31	58	45	37	46	29	140	133	54	42	181	50	63	93	49	49	64	51	50	51	59	58	78	54	35	37	75	78	85	42	47	32	55	34	75	38	49	122	51	40	53
NTS2-1	436	295	487	418	702	402	421	415	598	411	392	468	483	465	336	389	457	688	595	339	427	393	382	411	519	517	648	514	388	534	419	458	876	519	415	621	344	565	446	442	414	449	419	368	2013	714	391	460	348	534	515	464	564	536	444	352	342	479	559	486	390	746	770	495	377	813	602	578	701	473	417	686	537	308	645	713	400	609	606	487	435	523	658	599	441	333	516	709	306	723	440	498	996	447	654	562
NTS2-2	445	301	449	422	719	416	415	367	585	392	385	430	504	479	335	367	498	661	548	341	372	393	369	376	484	458	617	495	395	538	420	441	832	548	434	666	372	539	411	412	401	471	409	335	2015	753	349	450	353	566	513	464	498	524	475	332	372	438	505	518	371	754	691	451	371	848	612	568	662	470	381	619	530	300	637	680	399	650	602	464	459	557	607	572	413	339	590	703	322	734	417	516	990	440	676	585
PWR1	16	17	20	7	20	15	8	12	19	14	10	29	22	9	8	15	22	4	18	18	16	16	21	12	7	16	13	11	13	6	13	16	27	13	12	12	15	15	16	8	18	13	9	10	29	26	15	22	9	20	18	17	13	21	14	19	31	22	18	21	9	33	23	19	11	31	27	14	29	11	12	22	16	8	23	1	14	6	22	10	15	23	34	16	21	14	23	25	9	29	23	6	34	23	23	25
Q0045	0	7	3	1	0	14	2	0	5	1	0	2	1	3	0	2	7	1	2	1	2	1	1	4	0	0	0	0	10	0	1	0	2	1	0	1	0	11	0	3	0	2	0	3	0	0	0	1	0	0	0	0	0	0	1	3	1	6	0	1	2	0	0	1	1	0	1	0	1	1	0	2	1	0	2	1	1	4	0	0	0	0	2	2	0	0	1	0	1	3	0	4	1	0	1	0
Q0085	0	0	0	0	0	6	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	1	0	3	1	3	0	1	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
